Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9326E-01,9.7481E-02
3.9100E+00,9.6985E-01,2.0190E-01
5.8600E+00,9.3395E-01,2.9512E-01
7.8100E+00,8.9449E-01,3.8021E-01
9.7700E+00,8.4193E-01,4.6013E-01
1.1700E+01,7.8362E-01,5.3947E-01
1.3700E+01,7.1242E-01,6.1127E-01
1.5600E+01,6.3249E-01,6.8088E-01
1.7600E+01,5.4899E-01,7.4514E-01
1.9500E+01,4.5161E-01,8.0345E-01
2.1500E+01,3.4669E-01,8.5383E-01
2.3400E+01,2.3939E-01,8.9786E-01
2.5400E+01,1.2753E-01,9.3633E-01
2.7300E+01,5.5415E-03,9.6648E-01
2.9300E+01,-1.1325E-01,9.8433E-01
3.1300E+01,-2.3780E-01,9.9960E-01
3.3200E+01,-3.6255E-01,1.0056E+00
3.5200E+01,-4.8671E-01,9.9365E-01
3.7100E+01,-6.0869E-01,9.8294E-01
3.9100E+01,-7.2967E-01,9.6053E-01
4.1000E+01,-8.5184E-01,9.2662E-01
4.3000E+01,-9.6172E-01,8.8060E-01
4.4900E+01,-1.0770E+00,8.3102E-01
4.6900E+01,-1.1781E+00,7.6815E-01
4.8800E+01,-1.2713E+00,7.0270E-01
5.0800E+01,-1.3626E+00,6.2535E-01
5.2700E+01,-1.4379E+00,5.3887E-01
5.4700E+01,-1.5113E+00,4.5002E-01
5.6600E+01,-1.5688E+00,3.5303E-01
5.8600E+01,-1.6164E+00,2.4970E-01
6.0500E+01,-1.6521E+00,1.4657E-01
6.2500E+01,-1.6779E+00,3.1694E-02
6.4500E+01,-1.6938E+00,-8.2011E-02
6.6400E+01,-1.6958E+00,-1.9833E-01
6.8400E+01,-1.6759E+00,-3.1674E-01
7.0300E+01,-1.6561E+00,-4.3752E-01
7.2300E+01,-1.6125E+00,-5.5434E-01
7.4200E+01,-1.5609E+00,-6.7394E-01
7.6200E+01,-1.4994E+00,-7.8838E-01
7.8100E+01,-1.4221E+00,-9.0024E-01
8.0100E+01,-1.3348E+00,-1.0095E+00
8.2000E+01,-1.2336E+00,-1.1087E+00
8.4000E+01,-1.1246E+00,-1.2098E+00
8.5900E+01,-1.0014E+00,-1.2951E+00
8.7900E+01,-8.6890E-01,-1.3784E+00
8.9800E+01,-7.2947E-01,-1.4498E+00
9.1800E+01,-5.8469E-01,-1.5133E+00
9.3800E+01,-4.2900E-01,-1.5688E+00
9.5700E+01,-2.6755E-01,-1.6144E+00
9.7700E+01,-1.0690E-01,-1.6462E+00
9.9600E+01,6.8544E-02,-1.6680E+00
1.0200E+02,2.3304E-01,-1.6799E+00
1.0400E+02,4.0678E-01,-1.6700E+00
1.0500E+02,5.8390E-01,-1.6561E+00
1.0700E+02,7.5149E-01,-1.6263E+00
1.0900E+02,9.2126E-01,-1.5787E+00
1.1100E+02,1.0908E+00,-1.5252E+00
1.1300E+02,1.2535E+00,-1.4637E+00
1.1500E+02,1.4062E+00,-1.3824E+00
1.1700E+02,1.5569E+00,-1.2931E+00
1.1900E+02,1.6938E+00,-1.1841E+00
1.2100E+02,1.8247E+00,-1.0670E+00
1.2300E+02,1.9417E+00,-9.4209E-01
1.2500E+02,2.0428E+00,-8.0325E-01
1.2700E+02,2.1420E+00,-6.5351E-01
1.2900E+02,2.2293E+00,-4.9603E-01
1.3100E+02,2.2927E+00,-3.3737E-01
1.3300E+02,2.3423E+00,-1.6759E-01
1.3500E+02,2.3760E+00,8.6017E-03
1.3700E+02,2.3998E+00,1.8762E-01
1.3900E+02,2.3959E+00,3.6712E-01
1.4100E+02,2.3780E+00,5.5910E-01
1.4300E+02,2.3463E+00,7.4554E-01
1.4500E+02,2.2987E+00,9.2999E-01
1.4600E+02,2.2313E+00,1.1146E+00
1.4800E+02,2.1460E+00,1.2951E+00
1.5000E+02,2.0409E+00,1.4756E+00
1.5200E+02,1.9258E+00,1.6422E+00
1.5400E+02,1.7771E+00,1.8128E+00
1.5600E+02,1.6263E+00,1.9635E+00
1.5800E+02,1.4578E+00,2.1063E+00
1.6000E+02,1.2793E+00,2.2451E+00
1.6200E+02,1.0829E+00,2.3721E+00
1.6400E+02,8.7743E-01,2.4772E+00
1.6600E+02,6.6958E-01,2.5783E+00
1.6800E+02,4.3951E-01,2.6517E+00
1.7000E+02,1.9794E-01,2.7291E+00
1.7200E+02,-4.3693E-02,2.7787E+00
1.7400E+02,-2.9433E-01,2.8104E+00
1.7600E+02,-5.4978E-01,2.8203E+00
1.7800E+02,-8.0048E-01,2.8025E+00
1.8000E+02,-1.0710E+00,2.7846E+00
1.8200E+02,-1.3328E+00,2.7390E+00
1.8400E+02,-1.5807E+00,2.6755E+00
1.8600E+02,-1.8386E+00,2.5942E+00
1.8800E+02,-2.0647E+00,2.4931E+00
1.8900E+02,-2.3205E+00,2.3701E+00
1.9100E+02,-2.5565E+00,2.2313E+00
1.9300E+02,-2.7687E+00,2.0627E+00
1.9500E+02,-2.9829E+00,1.9020E+00
1.9700E+02,-3.1733E+00,1.6878E+00
1.9900E+02,-3.3360E+00,1.4736E+00
2.0100E+02,-3.4827E+00,1.2515E+00
2.0300E+02,-3.6374E+00,9.9326E-01
2.0500E+02,-3.7426E+00,7.3899E-01
2.0700E+02,-3.8457E+00,4.7937E-01
2.0900E+02,-3.9211E+00,2.1123E-01
2.1100E+02,-3.9786E+00,-6.9655E-02
2.1300E+02,-4.0163E+00,-3.7207E-01
2.1500E+02,-3.9905E+00,-6.6541E-01
2.1700E+02,-3.9667E+00,-9.6549E-01
2.1900E+02,-3.9349E+00,-1.2733E+00
2.2100E+02,-3.8397E+00,-1.5728E+00
2.2300E+02,-3.7148E+00,-1.8822E+00
2.2500E+02,-3.6057E+00,-2.1856E+00
2.2700E+02,-3.4173E+00,-2.4891E+00
2.2900E+02,-3.2785E+00,-2.7330E+00
2.3000E+02,-3.0662E+00,-3.0107E+00
2.3200E+02,-2.8124E+00,-3.2745E+00
2.3400E+02,-2.5684E+00,-3.5284E+00
2.3600E+02,-2.3007E+00,-3.7723E+00
2.3800E+02,-1.9992E+00,-3.9845E+00
2.4000E+02,-1.6680E+00,-4.1670E+00
2.4200E+02,-1.3566E+00,-4.3376E+00
2.4400E+02,-9.8155E-01,-4.4704E+00
2.4600E+02,-6.3764E-01,-4.6033E+00
2.4800E+02,-2.5645E-01,-4.7164E+00
2.5000E+02,1.7572E-01,-4.7679E+00
2.5200E+02,5.5891E-01,-4.7977E+00
2.5400E+02,9.6589E-01,-4.7898E+00
2.5600E+02,1.4002E+00,-4.7818E+00
2.5800E+02,1.8207E+00,-4.7422E+00
2.6000E+02,2.2233E+00,-4.6886E+00
2.6200E+02,2.6458E+00,-4.5736E+00
2.6400E+02,3.0563E+00,-4.3990E+00
