Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9010E-01,2.2673E-01
3.9100E+00,9.3663E-01,4.4752E-01
5.8600E+00,8.3168E-01,6.5446E-01
7.8100E+00,6.9208E-01,8.1881E-01
9.7700E+00,5.5347E-01,9.8713E-01
1.1700E+01,3.9703E-01,1.1089E+00
1.3700E+01,1.8713E-01,1.2079E+00
1.5600E+01,-1.7030E-02,1.2970E+00
1.7600E+01,-2.2970E-01,1.3465E+00
1.9500E+01,-4.4752E-01,1.3663E+00
2.1500E+01,-6.9109E-01,1.3663E+00
2.3400E+01,-9.2574E-01,1.3465E+00
2.5400E+01,-1.1287E+00,1.2871E+00
2.7300E+01,-1.3762E+00,1.1683E+00
2.9300E+01,-1.5743E+00,1.0495E+00
3.1300E+01,-1.7525E+00,8.9505E-01
3.3200E+01,-1.8911E+00,7.0792E-01
3.5200E+01,-2.0495E+00,4.8515E-01
3.7100E+01,-2.1188E+00,2.8812E-01
3.9100E+01,-2.1881E+00,3.1089E-02
4.1000E+01,-2.2178E+00,-2.4356E-01
4.3000E+01,-2.1881E+00,-4.8416E-01
4.4900E+01,-2.1188E+00,-7.6436E-01
4.6900E+01,-2.0297E+00,-1.0495E+00
4.8800E+01,-1.9010E+00,-1.2772E+00
5.0800E+01,-1.7228E+00,-1.5248E+00
5.2700E+01,-1.5149E+00,-1.7525E+00
5.4700E+01,-1.2772E+00,-1.9505E+00
5.6600E+01,-1.0099E+00,-2.1188E+00
5.8600E+01,-6.9802E-01,-2.2673E+00
6.0500E+01,-3.5842E-01,-2.3663E+00
6.2500E+01,-4.4257E-02,-2.4455E+00
6.4500E+01,3.0198E-01,-2.4653E+00
6.6400E+01,6.6337E-01,-2.4455E+00
6.8400E+01,1.0198E+00,-2.3861E+00
7.0300E+01,1.3762E+00,-2.2772E+00
7.2300E+01,1.6931E+00,-2.1386E+00
7.4200E+01,1.9802E+00,-1.9307E+00
7.6200E+01,2.2871E+00,-1.7129E+00
7.8100E+01,2.5347E+00,-1.4653E+00
8.0100E+01,2.7624E+00,-1.1485E+00
8.2000E+01,2.9505E+00,-8.4851E-01
8.4000E+01,3.0891E+00,-4.6337E-01
8.5900E+01,3.1782E+00,-8.4950E-02
8.7900E+01,3.2079E+00,3.0396E-01
8.9800E+01,3.1881E+00,6.8515E-01
9.1800E+01,3.1089E+00,1.0990E+00
9.3800E+01,2.9604E+00,1.4950E+00
9.5700E+01,2.7723E+00,1.8812E+00
9.7700E+01,2.5644E+00,2.2178E+00
9.9600E+01,2.2475E+00,2.5743E+00
1.0200E+02,1.9307E+00,2.8515E+00
1.0400E+02,1.5743E+00,3.1485E+00
