Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9840E-01,5.9336E-02
3.9100E+00,9.8959E-01,1.2147E-01
5.8600E+00,9.6938E-01,1.8371E-01
7.8100E+00,9.4437E-01,2.3654E-01
9.7700E+00,9.1755E-01,2.8697E-01
1.1700E+01,8.8573E-01,3.3700E-01
1.3700E+01,8.4851E-01,3.8643E-01
1.5600E+01,8.0308E-01,4.3386E-01
1.7600E+01,7.5545E-01,4.8009E-01
1.9500E+01,7.0242E-01,5.2532E-01
2.1500E+01,6.4098E-01,5.6914E-01
2.3400E+01,5.7835E-01,6.0937E-01
2.5400E+01,5.1211E-01,6.4739E-01
2.7300E+01,4.4006E-01,6.8241E-01
2.9300E+01,3.6642E-01,7.1423E-01
3.1300E+01,2.8777E-01,7.4365E-01
3.3200E+01,2.0853E-01,7.6926E-01
3.5200E+01,1.2608E-01,7.9127E-01
3.7100E+01,4.1845E-02,8.0828E-01
3.9100E+01,-4.5287E-02,8.2309E-01
4.1000E+01,-1.3288E-01,8.3310E-01
4.3000E+01,-2.1993E-01,8.4251E-01
4.4900E+01,-3.1219E-01,8.4451E-01
4.6900E+01,-3.9604E-01,8.4110E-01
4.8800E+01,-4.8449E-01,8.3390E-01
5.0800E+01,-5.7274E-01,8.2469E-01
5.2700E+01,-6.5900E-01,8.1109E-01
5.4700E+01,-7.4285E-01,7.9047E-01
5.6600E+01,-8.2690E-01,7.6746E-01
5.8600E+01,-9.0594E-01,7.3984E-01
6.0500E+01,-9.8119E-01,7.0782E-01
6.2500E+01,-1.0506E+00,6.7260E-01
6.4500E+01,-1.1267E+00,6.3158E-01
6.6400E+01,-1.1907E+00,5.8815E-01
6.8400E+01,-1.2508E+00,5.4072E-01
7.0300E+01,-1.3108E+00,4.8989E-01
7.2300E+01,-1.3648E+00,4.3446E-01
7.4200E+01,-1.4108E+00,3.7723E-01
7.6200E+01,-1.4509E+00,3.1679E-01
7.8100E+01,-1.4909E+00,2.5215E-01
8.0100E+01,-1.5189E+00,1.8491E-01
8.2000E+01,-1.5409E+00,1.1687E-01
8.4000E+01,-1.5609E+00,4.4327E-02
8.5900E+01,-1.5709E+00,-2.5255E-02
8.7900E+01,-1.5749E+00,-9.9139E-02
8.9800E+01,-1.5729E+00,-1.7210E-01
9.1800E+01,-1.5629E+00,-2.5255E-01
9.3800E+01,-1.5509E+00,-3.3020E-01
9.5700E+01,-1.5309E+00,-4.0444E-01
9.7700E+01,-1.5009E+00,-4.7829E-01
9.9600E+01,-1.4609E+00,-5.5613E-01
1.0200E+02,-1.4209E+00,-6.3118E-01
1.0400E+02,-1.3728E+00,-7.0582E-01
1.0500E+02,-1.3168E+00,-7.7967E-01
1.0700E+02,-1.2588E+00,-8.4931E-01
1.0900E+02,-1.1927E+00,-9.1735E-01
1.1100E+02,-1.1147E+00,-9.8359E-01
1.1300E+02,-1.0346E+00,-1.0506E+00
1.1500E+02,-9.5297E-01,-1.1087E+00
1.1700E+02,-8.5892E-01,-1.1647E+00
1.1900E+02,-7.6706E-01,-1.2147E+00
1.2100E+02,-6.6820E-01,-1.2668E+00
1.2300E+02,-5.6094E-01,-1.3088E+00
1.2500E+02,-4.5667E-01,-1.3548E+00
1.2700E+02,-3.4421E-01,-1.3888E+00
1.2900E+02,-2.3294E-01,-1.4148E+00
1.3100E+02,-1.1387E-01,-1.4409E+00
1.3300E+02,5.6490E-03,-1.4589E+00
1.3500E+02,1.2407E-01,-1.4789E+00
1.3700E+02,2.4695E-01,-1.4809E+00
1.3900E+02,3.6982E-01,-1.4829E+00
1.4100E+02,4.9430E-01,-1.4829E+00
1.4300E+02,6.1457E-01,-1.4709E+00
1.4500E+02,7.4024E-01,-1.4549E+00
1.4600E+02,8.6672E-01,-1.4289E+00
1.4800E+02,9.8379E-01,-1.4028E+00
1.5000E+02,1.1007E+00,-1.3708E+00
1.5200E+02,1.2187E+00,-1.3248E+00
1.5400E+02,1.3328E+00,-1.2768E+00
1.5600E+02,1.4409E+00,-1.2227E+00
1.5800E+02,1.5489E+00,-1.1587E+00
1.6000E+02,1.6510E+00,-1.0907E+00
1.6200E+02,1.7511E+00,-1.0206E+00
1.6400E+02,1.8391E+00,-9.3936E-01
1.6600E+02,1.9192E+00,-8.5331E-01
1.6800E+02,2.0032E+00,-7.6566E-01
1.7000E+02,2.0772E+00,-6.7821E-01
1.7200E+02,2.1453E+00,-5.7454E-01
1.7400E+02,2.2053E+00,-4.6568E-01
1.7600E+02,2.2493E+00,-3.5041E-01
1.7800E+02,2.2994E+00,-2.3974E-01
1.8000E+02,2.3334E+00,-1.3008E-01
1.8200E+02,2.3614E+00,-6.0436E-03
1.8400E+02,2.3734E+00,1.1523E-01
1.8600E+02,2.3794E+00,2.4134E-01
1.8800E+02,2.3834E+00,3.7102E-01
1.8900E+02,2.3714E+00,4.9350E-01
1.9100E+02,2.3554E+00,6.3438E-01
1.9300E+02,2.3254E+00,7.5025E-01
1.9500E+02,2.2814E+00,8.7613E-01
1.9700E+02,2.2493E+00,1.0086E+00
1.9900E+02,2.1873E+00,1.1327E+00
2.0100E+02,2.1173E+00,1.2748E+00
2.0300E+02,2.0372E+00,1.3928E+00
2.0500E+02,1.9632E+00,1.5189E+00
2.0700E+02,1.8731E+00,1.6210E+00
2.0900E+02,1.7551E+00,1.7350E+00
2.1100E+02,1.6430E+00,1.8611E+00
2.1300E+02,1.5189E+00,1.9672E+00
2.1500E+02,1.3948E+00,2.0592E+00
2.1700E+02,1.2548E+00,2.1693E+00
2.1900E+02,1.1107E+00,2.2594E+00
2.2100E+02,9.5057E-01,2.3234E+00
2.2300E+02,7.8507E-01,2.3994E+00
2.2500E+02,6.0656E-01,2.4855E+00
2.2700E+02,4.4867E-01,2.5655E+00
2.2900E+02,2.7096E-01,2.6096E+00
2.3000E+02,9.1095E-02,2.6636E+00
2.3200E+02,-9.2235E-02,2.7036E+00
2.3400E+02,-2.9758E-01,2.7156E+00
2.3600E+02,-4.9109E-01,2.7296E+00
2.3800E+02,-6.8381E-01,2.7416E+00
2.4000E+02,-8.9133E-01,2.7496E+00
2.4200E+02,-1.0826E+00,2.7396E+00
2.4400E+02,-1.2708E+00,2.7196E+00
2.4600E+02,-1.4769E+00,2.6596E+00
2.4800E+02,-1.6670E+00,2.6216E+00
2.5000E+02,-1.8691E+00,2.5735E+00
2.5200E+02,-2.0492E+00,2.5035E+00
2.5400E+02,-2.2433E+00,2.4154E+00
2.5600E+02,-2.4335E+00,2.3314E+00
2.5800E+02,-2.6156E+00,2.2433E+00
2.6000E+02,-2.8057E+00,2.1473E+00
2.6200E+02,-2.9698E+00,1.9972E+00
2.6400E+02,-3.1519E+00,1.8631E+00
2.6600E+02,-3.3140E+00,1.7410E+00
2.6800E+02,-3.4861E+00,1.5549E+00
2.7000E+02,-3.6382E+00,1.3848E+00
2.7100E+02,-3.7202E+00,1.2027E+00
2.7300E+02,-3.8383E+00,1.0072E+00
2.7500E+02,-3.9544E+00,8.3430E-01
2.7700E+02,-4.0244E+00,6.3918E-01
2.7900E+02,-4.1145E+00,3.9864E-01
2.8100E+02,-4.2165E+00,1.6850E-01
2.8300E+02,-4.2826E+00,-7.3774E-02
2.8500E+02,-4.3286E+00,-3.0758E-01
2.8700E+02,-4.3406E+00,-4.9910E-01
2.8900E+02,-4.3526E+00,-6.9642E-01
2.9100E+02,-4.3866E+00,-9.6438E-01
2.9300E+02,-4.3766E+00,-1.2187E+00
2.9500E+02,-4.3506E+00,-1.4929E+00
2.9700E+02,-4.3306E+00,-1.7671E+00
2.9900E+02,-4.2526E+00,-2.0472E+00
3.0100E+02,-4.1445E+00,-2.2714E+00
3.0300E+02,-4.0644E+00,-2.4835E+00
3.0500E+02,-3.9624E+00,-2.8057E+00
3.0700E+02,-3.8523E+00,-3.1179E+00
3.0900E+02,-3.7102E+00,-3.3520E+00
3.1100E+02,-3.5761E+00,-3.5641E+00
3.1300E+02,-3.3720E+00,-3.8523E+00
3.1400E+02,-3.1519E+00,-4.0885E+00
3.1600E+02,-2.9198E+00,-4.3246E+00
3.1800E+02,-2.7016E+00,-4.5988E+00
3.2000E+02,-2.4575E+00,-4.8149E+00
3.2200E+02,-2.1933E+00,-5.0470E+00
3.2400E+02,-1.8831E+00,-5.2672E+00
3.2600E+02,-1.6050E+00,-5.4513E+00
3.2800E+02,-1.3168E+00,-5.6454E+00
3.3000E+02,-1.0122E+00,-5.8335E+00
3.3200E+02,-7.1803E-01,-6.0736E+00
3.3400E+02,-3.7022E-01,-6.2177E+00
3.3600E+02,-1.0026E-02,-6.2698E+00
3.3800E+02,3.3960E-01,-6.4058E+00
3.4000E+02,6.8841E-01,-6.4779E+00
3.4200E+02,1.0120E+00,-6.5659E+00
3.4400E+02,1.4309E+00,-6.6940E+00
3.4600E+02,1.7731E+00,-6.7661E+00
3.4800E+02,2.2393E+00,-6.7721E+00
3.5000E+02,2.6396E+00,-6.9242E+00
3.5200E+02,3.0618E+00,-6.9322E+00
3.5400E+02,3.4681E+00,-6.7480E+00
3.5500E+02,3.8203E+00,-6.6660E+00
3.5700E+02,4.3226E+00,-6.6980E+00
3.5900E+02,4.6648E+00,-6.7220E+00
3.6100E+02,5.0851E+00,-6.5719E+00
3.6300E+02,5.5113E+00,-6.4459E+00
3.6500E+02,5.7134E+00,-6.4158E+00
3.6700E+02,6.1337E+00,-6.2357E+00
3.6900E+02,6.6440E+00,-5.9316E+00
3.7100E+02,6.9282E+00,-5.7895E+00
3.7300E+02,7.1843E+00,-5.6814E+00
3.7500E+02,7.5906E+00,-5.4012E+00
3.7700E+02,7.9308E+00,-5.1711E+00
3.7900E+02,8.2429E+00,-4.9310E+00
3.8100E+02,8.4791E+00,-4.7829E+00
3.8300E+02,8.8073E+00,-4.4187E+00
3.8500E+02,9.0674E+00,-3.7643E+00
3.8700E+02,9.2596E+00,-3.3600E+00
3.8900E+02,9.4016E+00,-3.3740E+00
3.9100E+02,9.6338E+00,-3.2199E+00
3.9300E+02,9.9520E+00,-2.6736E+00
3.9500E+02,1.0062E+01,-2.3214E+00
3.9600E+02,1.0196E+01,-2.0112E+00
3.9800E+02,1.0232E+01,-1.3186E+00
4.0000E+02,1.0350E+01,-8.4951E-01
