Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9148E-01,1.0567E-01
3.9100E+00,9.6531E-01,2.1947E-01
5.8600E+00,9.2585E-01,3.2018E-01
7.8100E+00,8.8263E-01,4.1098E-01
9.7700E+00,8.2395E-01,4.9683E-01
1.1700E+01,7.5852E-01,5.8228E-01
1.3700E+01,6.8002E-01,6.5841E-01
1.5600E+01,5.9140E-01,7.3176E-01
1.7600E+01,4.9941E-01,7.9837E-01
1.9500E+01,3.9195E-01,8.5765E-01
2.1500E+01,2.7657E-01,9.0741E-01
2.3400E+01,1.5960E-01,9.4984E-01
2.5400E+01,3.7252E-02,9.8592E-01
2.7300E+01,-9.4726E-02,1.0091E+00
2.9300E+01,-2.2304E-01,1.0210E+00
3.1300E+01,-3.5626E-01,1.0289E+00
3.3200E+01,-4.8929E-01,1.0270E+00
3.5200E+01,-6.2034E-01,1.0052E+00
3.7100E+01,-7.4841E-01,9.8354E-01
3.9100E+01,-8.7391E-01,9.4845E-01
4.1000E+01,-9.9722E-01,8.9988E-01
4.3000E+01,-1.1102E+00,8.3803E-01
4.4900E+01,-1.2252E+00,7.7181E-01
4.6900E+01,-1.3184E+00,6.9211E-01
4.8800E+01,-1.4096E+00,6.0944E-01
5.0800E+01,-1.4909E+00,5.1467E-01
5.2700E+01,-1.5563E+00,4.1039E-01
5.4700E+01,-1.6197E+00,3.0353E-01
5.6600E+01,-1.6614E+00,1.8933E-01
5.8600E+01,-1.6951E+00,6.8497E-02
6.0500E+01,-1.7149E+00,-5.0535E-02
6.2500E+01,-1.7169E+00,-1.8081E-01
6.4500E+01,-1.7090E+00,-3.0849E-01
6.6400E+01,-1.6852E+00,-4.3795E-01
6.8400E+01,-1.6416E+00,-5.6622E-01
7.0300E+01,-1.5880E+00,-6.9568E-01
7.2300E+01,-1.5206E+00,-8.1899E-01
7.4200E+01,-1.4393E+00,-9.4251E-01
7.6200E+01,-1.3422E+00,-1.0587E+00
7.8100E+01,-1.2331E+00,-1.1697E+00
8.0100E+01,-1.1142E+00,-1.2708E+00
8.2000E+01,-9.8236E-01,-1.3680E+00
8.4000E+01,-8.4001E-01,-1.4572E+00
8.5900E+01,-6.8735E-01,-1.5285E+00
8.7900E+01,-5.2359E-01,-1.5960E+00
8.9800E+01,-3.5547E-01,-1.6495E+00
9.1800E+01,-1.8319E-01,-1.6911E+00
9.3800E+01,-2.6675E-03,-1.7228E+00
9.5700E+01,1.8101E-01,-1.7328E+00
9.7700E+01,3.6142E-01,-1.7387E+00
9.9600E+01,5.5472E-01,-1.7268E+00
1.0200E+02,7.3216E-01,-1.7030E+00
1.0400E+02,9.1574E-01,-1.6554E+00
