Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,1.0000E+00,1.7700E-01
3.9100E+00,9.5100E-01,3.4200E-01
5.8600E+00,8.8000E-01,4.9900E-01
7.8100E+00,7.9100E-01,6.3100E-01
9.7700E+00,6.9700E-01,7.5200E-01
1.1700E+01,5.5900E-01,8.6500E-01
1.3700E+01,4.3600E-01,9.6100E-01
1.5600E+01,2.9200E-01,1.0600E+00
1.7600E+01,1.3000E-01,1.1200E+00
1.9500E+01,-4.9800E-02,1.1900E+00
2.1500E+01,-2.2900E-01,1.2100E+00
2.3400E+01,-4.1600E-01,1.2200E+00
2.5400E+01,-5.9900E-01,1.2300E+00
2.7300E+01,-7.9600E-01,1.1900E+00
2.9300E+01,-9.6400E-01,1.1300E+00
3.1300E+01,-1.1500E+00,1.0700E+00
3.3200E+01,-1.3000E+00,9.8500E-01
3.5200E+01,-1.4600E+00,8.8200E-01
3.7100E+01,-1.6000E+00,7.4200E-01
3.9100E+01,-1.7100E+00,6.1300E-01
4.1000E+01,-1.8200E+00,4.5400E-01
4.3000E+01,-1.8800E+00,2.6300E-01
4.4900E+01,-1.9300E+00,8.8800E-02
4.6900E+01,-1.9500E+00,-1.0000E-01
4.8800E+01,-1.9600E+00,-2.9300E-01
5.0800E+01,-1.9400E+00,-5.0800E-01
5.2700E+01,-1.8700E+00,-6.9700E-01
5.4700E+01,-1.8000E+00,-8.9700E-01
5.6600E+01,-1.6600E+00,-1.0900E+00
5.8600E+01,-1.5400E+00,-1.2700E+00
6.0500E+01,-1.3800E+00,-1.4400E+00
6.2500E+01,-1.2000E+00,-1.5900E+00
6.4500E+01,-9.9600E-01,-1.7300E+00
6.6400E+01,-7.6400E-01,-1.8700E+00
6.8400E+01,-5.3300E-01,-1.9700E+00
7.0300E+01,-3.0800E-01,-2.0300E+00
7.2300E+01,-2.1600E-02,-2.0800E+00
7.4200E+01,2.3800E-01,-2.1000E+00
7.6200E+01,5.0900E-01,-2.1000E+00
7.8100E+01,7.9800E-01,-2.0500E+00
8.0100E+01,1.0500E+00,-2.0100E+00
8.2000E+01,1.3100E+00,-1.9000E+00
8.4000E+01,1.5700E+00,-1.8000E+00
8.5900E+01,1.8300E+00,-1.6500E+00
8.7900E+01,2.0200E+00,-1.4900E+00
8.9800E+01,2.2400E+00,-1.2800E+00
9.1800E+01,2.4100E+00,-1.0500E+00
9.3800E+01,2.5400E+00,-8.0700E-01
9.5700E+01,2.6600E+00,-5.5300E-01
9.7700E+01,2.7600E+00,-2.6600E-01
9.9600E+01,2.8200E+00,1.1100E-02
1.0200E+02,2.8300E+00,2.9600E-01
1.0400E+02,2.8000E+00,6.0700E-01
1.0500E+02,2.7500E+00,9.3700E-01
1.0700E+02,2.6500E+00,1.2300E+00
1.0900E+02,2.5200E+00,1.5100E+00
1.1100E+02,2.3600E+00,1.7800E+00
1.1300E+02,2.1600E+00,2.0700E+00
