Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,1.0019E+00,6.1578E-02
3.9100E+00,9.8099E-01,1.2148E-01
5.8600E+00,9.5133E-01,1.7947E-01
7.8100E+00,9.2205E-01,2.2490E-01
9.7700E+00,8.8859E-01,2.7015E-01
1.1700E+01,8.5779E-01,3.1198E-01
1.3700E+01,8.2490E-01,3.5703E-01
1.5600E+01,7.8707E-01,4.0095E-01
1.7600E+01,7.4468E-01,4.4106E-01
1.9500E+01,6.9962E-01,4.8460E-01
2.1500E+01,6.5133E-01,5.2167E-01
2.3400E+01,5.9487E-01,5.6065E-01
2.5400E+01,5.3973E-01,5.9696E-01
2.7300E+01,4.7719E-01,6.3099E-01
2.9300E+01,4.1141E-01,6.6198E-01
3.1300E+01,3.4620E-01,6.9030E-01
3.3200E+01,2.7719E-01,7.1635E-01
3.5200E+01,2.0646E-01,7.3973E-01
3.7100E+01,1.3118E-01,7.5951E-01
3.9100E+01,5.6844E-02,7.7548E-01
4.1000E+01,-1.8726E-02,7.9068E-01
4.3000E+01,-1.0000E-01,8.0114E-01
4.4900E+01,-1.7909E-01,8.0989E-01
4.6900E+01,-2.5703E-01,8.1255E-01
4.8800E+01,-3.3688E-01,8.1293E-01
5.0800E+01,-4.1692E-01,8.0837E-01
5.2700E+01,-4.9411E-01,8.0247E-01
5.4700E+01,-5.7357E-01,7.8954E-01
5.6600E+01,-6.5304E-01,7.7757E-01
5.8600E+01,-7.2700E-01,7.6103E-01
6.0500E+01,-7.9962E-01,7.3859E-01
6.2500E+01,-8.7338E-01,7.1236E-01
6.4500E+01,-9.4183E-01,6.8441E-01
6.6400E+01,-1.0114E+00,6.5152E-01
6.8400E+01,-1.0741E+00,6.1559E-01
7.0300E+01,-1.1293E+00,5.7643E-01
7.2300E+01,-1.1882E+00,5.3384E-01
7.4200E+01,-1.2433E+00,4.8859E-01
7.6200E+01,-1.2909E+00,4.4030E-01
7.8100E+01,-1.3384E+00,3.8916E-01
8.0100E+01,-1.3764E+00,3.3688E-01
8.2000E+01,-1.4144E+00,2.7814E-01
8.4000E+01,-1.4430E+00,2.2129E-01
8.5900E+01,-1.4715E+00,1.6027E-01
8.7900E+01,-1.4905E+00,9.9106E-02
8.9800E+01,-1.5057E+00,3.2338E-02
9.1800E+01,-1.5152E+00,-3.4829E-02
9.3800E+01,-1.5190E+00,-9.9430E-02
9.5700E+01,-1.5190E+00,-1.6616E-01
9.7700E+01,-1.5114E+00,-2.3631E-01
9.9600E+01,-1.5000E+00,-3.0608E-01
1.0200E+02,-1.4829E+00,-3.7529E-01
1.0400E+02,-1.4563E+00,-4.4810E-01
1.0500E+02,-1.4259E+00,-5.1597E-01
1.0700E+02,-1.3935E+00,-5.8612E-01
1.0900E+02,-1.3498E+00,-6.5399E-01
1.1100E+02,-1.3061E+00,-7.2034E-01
1.1300E+02,-1.2510E+00,-7.8707E-01
1.1500E+02,-1.1977E+00,-8.5095E-01
1.1700E+02,-1.1312E+00,-9.1236E-01
1.1900E+02,-1.0646E+00,-9.7148E-01
1.2100E+02,-9.9430E-01,-1.0323E+00
1.2300E+02,-9.1426E-01,-1.0894E+00
1.2500E+02,-8.3232E-01,-1.1388E+00
1.2700E+02,-7.4848E-01,-1.1882E+00
1.2900E+02,-6.5589E-01,-1.2376E+00
1.3100E+02,-5.6502E-01,-1.2795E+00
1.3300E+02,-4.6502E-01,-1.3156E+00
1.3500E+02,-3.6502E-01,-1.3498E+00
1.3700E+02,-2.6312E-01,-1.3821E+00
1.3900E+02,-1.5951E-01,-1.4030E+00
1.4100E+02,-5.4106E-02,-1.4259E+00
1.4300E+02,5.4202E-02,-1.4430E+00
1.4500E+02,1.6749E-01,-1.4544E+00
1.4600E+02,2.8460E-01,-1.4601E+00
1.4800E+02,3.9601E-01,-1.4639E+00
1.5000E+02,5.0951E-01,-1.4582E+00
1.5200E+02,6.2281E-01,-1.4506E+00
1.5400E+02,7.3479E-01,-1.4392E+00
1.5600E+02,8.4411E-01,-1.4183E+00
1.5800E+02,9.6198E-01,-1.3916E+00
1.6000E+02,1.0684E+00,-1.3612E+00
1.6200E+02,1.1768E+00,-1.3251E+00
1.6400E+02,1.2814E+00,-1.2833E+00
1.6600E+02,1.3783E+00,-1.2376E+00
1.6800E+02,1.4810E+00,-1.1825E+00
1.7000E+02,1.5837E+00,-1.1293E+00
1.7200E+02,1.6749E+00,-1.0703E+00
1.7400E+02,1.7643E+00,-9.9430E-01
1.7600E+02,1.8403E+00,-9.2243E-01
1.7800E+02,1.9240E+00,-8.4335E-01
1.8000E+02,2.0057E+00,-7.6179E-01
1.8200E+02,2.0779E+00,-6.8042E-01
1.8400E+02,2.1331E+00,-5.8593E-01
1.8600E+02,2.1882E+00,-4.9430E-01
1.8800E+02,2.2471E+00,-3.9373E-01
1.8900E+02,2.2928E+00,-2.9525E-01
1.9100E+02,2.3251E+00,-1.8498E-01
1.9300E+02,2.3498E+00,-7.4905E-02
1.9500E+02,2.3650E+00,3.4259E-02
1.9700E+02,2.3916E+00,1.4582E-01
1.9900E+02,2.3954E+00,2.6901E-01
2.0100E+02,2.3897E+00,3.9468E-01
2.0300E+02,2.3878E+00,5.0019E-01
2.0500E+02,2.3726E+00,6.1901E-01
2.0700E+02,2.3498E+00,7.4715E-01
