Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,1.0030E+00,1.3842E-01
3.9100E+00,9.6690E-01,2.7282E-01
5.8600E+00,9.1474E-01,4.0020E-01
7.8100E+00,8.4754E-01,5.1053E-01
9.7700E+00,7.7533E-01,6.1184E-01
1.1700E+01,6.6901E-01,7.1013E-01
1.3700E+01,5.7472E-01,7.9438E-01
1.5600E+01,4.6439E-01,8.8164E-01
1.7600E+01,3.3801E-01,9.5085E-01
1.9500E+01,1.9659E-01,1.0130E+00
2.1500E+01,5.3260E-02,1.0532E+00
2.3400E+01,-9.8997E-02,1.0933E+00
2.5400E+01,-2.4774E-01,1.1133E+00
2.7300E+01,-4.1625E-01,1.1133E+00
2.9300E+01,-5.6369E-01,1.1033E+00
3.1300E+01,-7.2818E-01,1.0832E+00
3.3200E+01,-8.7061E-01,1.0532E+00
3.5200E+01,-1.0231E+00,1.0020E+00
3.7100E+01,-1.1735E+00,9.2778E-01
3.9100E+01,-1.2839E+00,8.5557E-01
4.1000E+01,-1.4142E+00,7.6429E-01
4.3000E+01,-1.5246E+00,6.4092E-01
4.4900E+01,-1.6148E+00,5.2758E-01
4.6900E+01,-1.6851E+00,3.9920E-01
4.8800E+01,-1.7452E+00,2.6379E-01
5.0800E+01,-1.8054E+00,1.1133E-01
5.2700E+01,-1.8154E+00,-3.4604E-02
5.4700E+01,-1.8255E+00,-1.9157E-01
5.6600E+01,-1.7954E+00,-3.6209E-01
5.8600E+01,-1.7753E+00,-5.1454E-01
6.0500E+01,-1.7151E+00,-6.7001E-01
6.2500E+01,-1.6449E+00,-8.2748E-01
6.4500E+01,-1.5446E+00,-9.8395E-01
6.6400E+01,-1.4343E+00,-1.1434E+00
6.8400E+01,-1.3039E+00,-1.2738E+00
7.0300E+01,-1.1735E+00,-1.3942E+00
7.2300E+01,-9.9498E-01,-1.5145E+00
7.4200E+01,-8.2447E-01,-1.6148E+00
7.6200E+01,-6.3691E-01,-1.7051E+00
7.8100E+01,-4.1926E-01,-1.7753E+00
8.0100E+01,-2.2768E-01,-1.8355E+00
8.2000E+01,-5.0953E-03,-1.8656E+00
8.4000E+01,2.1063E-01,-1.8957E+00
8.5900E+01,4.4935E-01,-1.9157E+00
8.7900E+01,6.5196E-01,-1.8857E+00
8.9800E+01,8.9067E-01,-1.8455E+00
9.1800E+01,1.1033E+00,-1.7753E+00
9.3800E+01,1.3139E+00,-1.6851E+00
9.5700E+01,1.5145E+00,-1.5848E+00
9.7700E+01,1.7151E+00,-1.4644E+00
9.9600E+01,1.8957E+00,-1.3440E+00
1.0200E+02,2.0461E+00,-1.1836E+00
1.0400E+02,2.1966E+00,-9.9498E-01
1.0500E+02,2.3370E+00,-7.9137E-01
1.0700E+02,2.4373E+00,-5.9077E-01
1.0900E+02,2.5176E+00,-3.7813E-01
1.1100E+02,2.5677E+00,-1.6349E-01
1.1300E+02,2.6179E+00,8.5055E-02
1.1500E+02,2.6179E+00,3.2899E-01
1.1700E+02,2.5978E+00,5.8275E-01
1.1900E+02,2.5476E+00,8.1344E-01
1.2100E+02,2.4875E+00,1.0532E+00
1.2300E+02,2.3470E+00,1.3139E+00
1.2500E+02,2.2467E+00,1.5446E+00
1.2700E+02,2.1163E+00,1.7553E+00
1.2900E+02,1.9157E+00,2.0060E+00
1.3100E+02,1.7252E+00,2.1866E+00
1.3300E+02,1.5045E+00,2.3671E+00
