Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9298E-01,1.9057E-01
3.9100E+00,9.4584E-01,3.8014E-01
5.8600E+00,8.6560E-01,5.6068E-01
7.8100E+00,7.5226E-01,7.0812E-01
9.7700E+00,6.3892E-01,8.6259E-01
1.1700E+01,5.0853E-01,9.7292E-01
1.3700E+01,3.2899E-01,1.0732E+00
1.5600E+01,1.5547E-01,1.1635E+00
1.7600E+01,-2.7583E-02,1.2237E+00
1.9500E+01,-2.1765E-01,1.2638E+00
2.1500E+01,-4.3430E-01,1.2839E+00
2.3400E+01,-6.4193E-01,1.2839E+00
2.5400E+01,-8.2748E-01,1.2638E+00
2.7300E+01,-1.0532E+00,1.1936E+00
2.9300E+01,-1.2538E+00,1.1234E+00
3.1300E+01,-1.4243E+00,1.0130E+00
3.3200E+01,-1.5747E+00,8.8365E-01
3.5200E+01,-1.7452E+00,7.2618E-01
3.7100E+01,-1.8455E+00,5.7874E-01
3.9100E+01,-1.9458E+00,3.8215E-01
4.1000E+01,-2.0261E+00,1.6449E-01
4.3000E+01,-2.0461E+00,-3.3200E-02
4.4900E+01,-2.0461E+00,-2.6780E-01
4.6900E+01,-2.0361E+00,-5.0853E-01
4.8800E+01,-1.9860E+00,-7.1515E-01
5.0800E+01,-1.8857E+00,-9.4483E-01
5.2700E+01,-1.7653E+00,-1.1635E+00
5.4700E+01,-1.6249E+00,-1.3641E+00
5.6600E+01,-1.4443E+00,-1.5547E+00
5.8600E+01,-1.2237E+00,-1.7352E+00
6.0500E+01,-9.7392E-01,-1.8857E+00
6.2500E+01,-7.3922E-01,-2.0160E+00
6.4500E+01,-4.6740E-01,-2.1063E+00
6.6400E+01,-1.7252E-01,-2.1765E+00
6.8400E+01,1.2839E-01,-2.2166E+00
7.0300E+01,4.4132E-01,-2.2267E+00
7.2300E+01,7.3521E-01,-2.1966E+00
7.4200E+01,1.0130E+00,-2.1163E+00
7.6200E+01,1.3340E+00,-2.0361E+00
