Freq (Hz),Real,Imaginary
0.0000000000,1.0000000000,0.0000000000
1.9500000000,0.9974200000,0.0835980000
3.9100000000,0.9825000000,0.1749500000
5.8600000000,0.9499000000,0.2664000000
7.8100000000,0.9119300000,0.3453300000
9.7700000000,0.8632200000,0.4192800000
11.7000000000,0.8057700000,0.4870800000
13.7000000000,0.7429400000,0.5548700000
15.6000000000,0.6727600000,0.6182900000
17.6000000000,0.5930400000,0.6729600000
19.5000000000,0.5075500000,0.7310100000
21.5000000000,0.4180900000,0.7773400000
23.4000000000,0.3151100000,0.8216700000
25.4000000000,0.2169000000,0.8598400000
27.3000000000,0.1077500000,0.8916500000
29.3000000000,-0.0053380000,0.9143100000
31.3000000000,-0.1153100000,0.9318100000
33.2000000000,-0.2296200000,0.9419500000
35.2000000000,-0.3441400000,0.9453300000
37.1000000000,-0.4618300000,0.9389700000
39.1000000000,-0.5737600000,0.9236600000
41.0000000000,-0.6844900000,0.9059600000
43.0000000000,-0.7992000000,0.8757500000
44.9000000000,-0.9067600000,0.8411500000
46.9000000000,-1.0060000000,0.7970200000
48.8000000000,-1.1054000000,0.7463200000
50.8000000000,-1.1948000000,0.6856900000
52.7000000000,-1.2763000000,0.6226600000
54.7000000000,-1.3539000000,0.5475100000
56.6000000000,-1.4254000000,0.4703800000
58.6000000000,-1.4831000000,0.3896600000
60.5000000000,-1.5368000000,0.3008000000
62.5000000000,-1.5765000000,0.2051700000
64.5000000000,-1.6064000000,0.1095400000
66.4000000000,-1.6282000000,0.0078728000
68.4000000000,-1.6382000000,-0.0967990000
70.3000000000,-1.6302000000,-0.1970200000
72.3000000000,-1.6203000000,-0.3069600000
74.2000000000,-1.5964000000,-0.4129200000
76.2000000000,-1.5586000000,-0.5196800000
78.1000000000,-1.5149000000,-0.6280300000
80.1000000000,-1.4573000000,-0.7302200000
82.0000000000,-1.3837000000,-0.8306200000
84.0000000000,-1.3042000000,-0.9260400000
85.9000000000,-1.2147000000,-1.0199000000
87.9000000000,-1.1213000000,-1.1054000000
89.8000000000,-1.0099000000,-1.1928000000
91.8000000000,-0.8908500000,-1.2684000000
93.8000000000,-0.7703800000,-1.3400000000
95.7000000000,-0.6385700000,-1.4016000000
97.7000000000,-0.4992000000,-1.4573000000
99.6000000000,-0.3540800000,-1.4990000000
102.0000000000,-0.2091500000,-1.5368000000
104.0000000000,-0.0508950000,-1.5646000000
105.0000000000,0.1028800000,-1.5785000000
107.0000000000,0.2618300000,-1.5825000000
109.0000000000,0.4188900000,-1.5805000000
111.0000000000,0.5771400000,-1.5666000000
113.0000000000,0.7367800000,-1.5388000000
115.0000000000,0.8926400000,-1.5030000000
117.0000000000,1.0457000000,-1.4493000000
119.0000000000,1.1928000000,-1.3956000000
121.0000000000,1.3360000000,-1.3241000000
123.0000000000,1.4751000000,-1.2386000000
125.0000000000,1.6044000000,-1.1451000000
127.0000000000,1.7237000000,-1.0457000000
129.0000000000,1.8449000000,-0.9328000000
131.0000000000,1.9463000000,-0.8159000000
133.0000000000,2.0358000000,-0.6837000000
135.0000000000,2.1173000000,-0.5451300000
137.0000000000,2.1869000000,-0.4009900000
139.0000000000,2.2406000000,-0.2518900000
141.0000000000,2.2863000000,-0.0983500000
143.0000000000,2.3101000000,0.0603980000
145.0000000000,2.3221000000,0.2278300000
146.0000000000,2.3201000000,0.4025800000
148.0000000000,2.3082000000,0.5693800000
150.0000000000,2.2744000000,0.7391700000
152.0000000000,2.2227000000,0.9083500000
154.0000000000,2.1650000000,1.0775000000
156.0000000000,2.0895000000,1.2386000000
158.0000000000,1.9881000000,1.4076000000
160.0000000000,1.8847000000,1.5626000000
162.0000000000,1.7594000000,1.7137000000
164.0000000000,1.6203000000,1.8588000000
166.0000000000,1.4692000000,1.9901000000
168.0000000000,1.3062000000,2.1252000000
170.0000000000,1.1332000000,2.2445000000
172.0000000000,0.9536800000,2.3579000000
174.0000000000,0.7423500000,2.4453000000
176.0000000000,0.5439400000,2.5288000000
178.0000000000,0.3242500000,2.6004000000
180.0000000000,0.0984690000,2.6600000000
182.0000000000,-0.1270400000,2.7078000000
184.0000000000,-0.3600400000,2.7256000000
186.0000000000,-0.5992000000,2.7356000000
188.0000000000,-0.8431400000,2.7356000000
189.0000000000,-1.0855000000,2.7157000000
191.0000000000,-1.3280000000,2.6680000000
193.0000000000,-1.5586000000,2.6123000000
195.0000000000,-1.7972000000,2.5368000000
197.0000000000,-2.0358000000,2.4493000000
199.0000000000,-2.2525000000,2.3300000000
201.0000000000,-2.4712000000,2.1988000000
203.0000000000,-2.6839000000,2.0656000000
205.0000000000,-2.8767000000,1.9105000000
207.0000000000,-3.0696000000,1.7376000000
209.0000000000,-3.2425000000,1.5507000000
211.0000000000,-3.3956000000,1.3439000000
213.0000000000,-3.5268000000,1.1193000000
215.0000000000,-3.6600000000,0.8974200000
217.0000000000,-3.7694000000,0.6465200000
219.0000000000,-3.8489000000,0.3932400000
221.0000000000,-3.9145000000,0.1399600000
223.0000000000,-3.9523000000,-0.1296200000
225.0000000000,-3.9801000000,-0.4198800000
227.0000000000,-3.9920000000,-0.6982100000
229.0000000000,-3.9662000000,-0.9763400000
230.0000000000,-3.9026000000,-1.2485000000
232.0000000000,-3.8429000000,-1.5487000000
234.0000000000,-3.7555000000,-1.8211000000
236.0000000000,-3.6282000000,-2.1233000000
238.0000000000,-3.4950000000,-2.3996000000
240.0000000000,-3.3221000000,-2.6700000000
