Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,1.0000E+00,2.0098E-01
3.9100E+00,9.3333E-01,3.8137E-01
5.8600E+00,8.5392E-01,5.4804E-01
7.8100E+00,7.5588E-01,6.8627E-01
9.7700E+00,6.4902E-01,8.1176E-01
1.1700E+01,5.0000E-01,9.2941E-01
1.3700E+01,3.6569E-01,1.0294E+00
1.5600E+01,2.1078E-01,1.1275E+00
1.7600E+01,3.6078E-02,1.1961E+00
1.9500E+01,-1.5588E-01,1.2549E+00
2.1500E+01,-3.4608E-01,1.2647E+00
2.3400E+01,-5.4510E-01,1.2745E+00
2.5400E+01,-7.3824E-01,1.2647E+00
2.7300E+01,-9.4412E-01,1.2059E+00
2.9300E+01,-1.1176E+00,1.1373E+00
3.1300E+01,-1.3039E+00,1.0490E+00
3.3200E+01,-1.4608E+00,9.4706E-01
3.5200E+01,-1.6176E+00,8.1961E-01
3.7100E+01,-1.7549E+00,6.5294E-01
3.9100E+01,-1.8529E+00,5.0294E-01
4.1000E+01,-1.9510E+00,3.1667E-01
4.3000E+01,-1.9902E+00,1.0196E-01
4.4900E+01,-2.0196E+00,-9.6569E-02
4.6900E+01,-2.0196E+00,-3.0686E-01
4.8800E+01,-1.9902E+00,-5.1863E-01
5.0800E+01,-1.9510E+00,-7.5294E-01
5.2700E+01,-1.8529E+00,-9.5196E-01
5.4700E+01,-1.7353E+00,-1.1667E+00
5.6600E+01,-1.5588E+00,-1.3627E+00
5.8600E+01,-1.4020E+00,-1.5392E+00
6.0500E+01,-1.2157E+00,-1.6961E+00
6.2500E+01,-9.9020E-01,-1.8529E+00
6.4500E+01,-7.4314E-01,-1.9804E+00
6.6400E+01,-4.7157E-01,-2.0882E+00
6.8400E+01,-2.0784E-01,-2.1569E+00
7.0300E+01,4.3725E-02,-2.1961E+00
7.2300E+01,3.5882E-01,-2.2059E+00
7.4200E+01,6.4118E-01,-2.1863E+00
7.6200E+01,9.3039E-01,-2.1471E+00
7.8100E+01,1.2255E+00,-2.0392E+00
8.0100E+01,1.4902E+00,-1.9510E+00
8.2000E+01,1.7451E+00,-1.7843E+00
8.4000E+01,2.0000E+00,-1.6275E+00
8.5900E+01,2.2451E+00,-1.4216E+00
8.7900E+01,2.4216E+00,-1.2059E+00
8.9800E+01,2.6078E+00,-9.3922E-01
9.1800E+01,2.7255E+00,-6.5784E-01
9.3800E+01,2.8137E+00,-3.6078E-01
9.5700E+01,2.8824E+00,-6.2745E-02
9.7700E+01,2.9118E+00,2.7255E-01
9.9600E+01,2.9216E+00,5.8824E-01
1.0200E+02,2.8529E+00,9.0196E-01
1.0400E+02,2.7451E+00,1.2353E+00
1.0500E+02,2.6078E+00,1.5784E+00
1.0700E+02,2.4314E+00,1.8725E+00
1.0900E+02,2.2255E+00,2.1471E+00
1.1100E+02,1.9902E+00,2.4020E+00
1.1300E+02,1.6961E+00,2.6667E+00
1.1500E+02,1.3627E+00,2.8725E+00
1.1700E+02,1.0098E+00,3.0588E+00
1.1900E+02,6.5980E-01,3.1765E+00
1.2100E+02,3.0294E-01,3.2941E+00
1.2300E+02,-1.5882E-01,3.3235E+00
1.2500E+02,-5.5588E-01,3.3725E+00
1.2700E+02,-9.3725E-01,3.3627E+00
1.2900E+02,-1.4020E+00,3.2843E+00
1.3100E+02,-1.7843E+00,3.1765E+00
1.3300E+02,-2.1667E+00,3.0098E+00
1.3500E+02,-2.5196E+00,2.7941E+00
1.3700E+02,-2.9412E+00,2.5490E+00
1.3900E+02,-3.2843E+00,2.2353E+00
1.4100E+02,-3.5196E+00,1.9118E+00
1.4300E+02,-3.7745E+00,1.5588E+00
1.4500E+02,-4.0098E+00,1.1667E+00
1.4600E+02,-4.1765E+00,6.6863E-01
