Freq (Hz),Real,Imaginary
0.0000E+00,1.0000E+00,0.0000E+00
1.9500E+00,9.9610E-01,8.8304E-02
3.9100E+00,9.7115E-01,1.8226E-01
5.8600E+00,9.3080E-01,2.6608E-01
7.8100E+00,8.9162E-01,3.3606E-01
9.7700E+00,8.5068E-01,4.0351E-01
1.1700E+01,8.0468E-01,4.7057E-01
1.3700E+01,7.5068E-01,5.3704E-01
1.5600E+01,6.8538E-01,5.9903E-01
1.7600E+01,6.1735E-01,6.5770E-01
1.9500E+01,5.4191E-01,7.1442E-01
2.1500E+01,4.5478E-01,7.6667E-01
2.3400E+01,3.6589E-01,8.1287E-01
2.5400E+01,2.7349E-01,8.5419E-01
2.7300E+01,1.7349E-01,8.8869E-01
2.9300E+01,7.2047E-02,9.1754E-01
3.1300E+01,-3.4522E-02,9.4113E-01
3.3200E+01,-1.4113E-01,9.5692E-01
3.5200E+01,-2.5010E-01,9.6608E-01
3.7100E+01,-3.5887E-01,9.6667E-01
3.9100E+01,-4.7018E-01,9.6121E-01
4.1000E+01,-5.7973E-01,9.4795E-01
4.3000E+01,-6.8616E-01,9.3158E-01
4.4900E+01,-7.9591E-01,9.0292E-01
4.6900E+01,-8.9240E-01,8.6842E-01
4.8800E+01,-9.9220E-01,8.2515E-01
5.0800E+01,-1.0877E+00,7.7778E-01
5.2700E+01,-1.1754E+00,7.2437E-01
5.4700E+01,-1.2573E+00,6.6160E-01
5.6600E+01,-1.3353E+00,5.9259E-01
5.8600E+01,-1.4035E+00,5.1949E-01
6.0500E+01,-1.4639E+00,4.4172E-01
6.2500E+01,-1.5185E+00,3.5945E-01
6.4500E+01,-1.5653E+00,2.6803E-01
6.6400E+01,-1.5984E+00,1.7758E-01
6.8400E+01,-1.6238E+00,8.3060E-02
7.0300E+01,-1.6433E+00,-1.4912E-02
7.2300E+01,-1.6511E+00,-1.1793E-01
7.4200E+01,-1.6472E+00,-2.1949E-01
7.6200E+01,-1.6296E+00,-3.2144E-01
7.8100E+01,-1.6101E+00,-4.2788E-01
8.0100E+01,-1.5731E+00,-5.3216E-01
8.2000E+01,-1.5283E+00,-6.3255E-01
8.4000E+01,-1.4737E+00,-7.3606E-01
8.5900E+01,-1.4113E+00,-8.3275E-01
8.7900E+01,-1.3372E+00,-9.2788E-01
8.9800E+01,-1.2554E+00,-1.0175E+00
9.1800E+01,-1.1579E+00,-1.1092E+00
9.3800E+01,-1.0604E+00,-1.1969E+00
9.5700E+01,-9.5107E-01,-1.2671E+00
9.7700E+01,-8.3665E-01,-1.3353E+00
9.9600E+01,-7.0975E-01,-1.4016E+00
1.0200E+02,-5.8246E-01,-1.4581E+00
1.0400E+02,-4.4620E-01,-1.5088E+00
1.0500E+02,-3.0370E-01,-1.5497E+00
1.0700E+02,-1.6355E-01,-1.5809E+00
