NEW				
Uref (m/s)				
0				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43	1.912454167	2.03184375	1.00E-05	21.5
-40	1.912454167	2.03184375	1.00E-05	21.5
-35	1.912454167	2.03184375	1.00E-05	21.5
-30	1.912454167	2.03184375	1.00E-05	21.5
-25	1.912454167	2.03184375	1.00E-05	21.5
-20	1.912454167	2.03184375	1.00E-05	21.5
-15	1.912454167	2.03184375	1.00E-05	21.5
-10	1.912454167	2.03184375	1.00E-05	21.5
-5	1.912454167	2.03184375	1.00E-05	21.5
0	1.912454167	2.03184375	1.00E-05	21.5
5	1.912454167	2.03184375	1.00E-05	21.5
10	1.912454167	2.03184375	1.00E-05	21.5
15	1.912454167	2.03184375	1.00E-05	21.5
20	1.912454167	2.03184375	1.00E-05	21.5
25	1.912454167	2.03184375	1.00E-05	21.5
30	1.912454167	2.03184375	1.00E-05	21.5
35	1.912454167	2.03184375	1.00E-05	21.5
40	1.912454167	2.03184375	1.00E-05	21.5
43	1.912454167	2.03184375	1.00E-05	21.5
NEW				
Uref (m/s)				
0.25				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.11	2.034533333	2.208275	0.30373	21.5
-39.78	2.030508333	2.201191667	0.2695	21.5
-34.83	2.02675	2.19385	0.24407	21.5
-30.24	2.026758333	2.1917	0.25912	21.5
-25.2	2.026891667	2.188283333	0.19643	21.5
-19.98	2.03125	2.189691667	0.26772	21.5
-14.85	2.033516667	2.186358333	0.26335	21.5
-9.99	2.03615	2.182441667	0.27049	21.5
-5.31	2.034625	2.17275	0.25373	21.5
0	2.03615	2.16565	0.22876	21.5
5.13	2.041266667	2.162283333	0.23908	21.5
10.17	2.046708333	2.159666667	0.24468	21.5
14.76	2.053316667	2.159058333	0.28947	21.5
19.8	2.055125	2.154375	0.27338	21.5
25.02	2.055766667	2.14985	0.23906	21.5
29.97	2.059858333	2.149191667	0.2135	21.5
35.01	2.066808333	2.151883333	0.25283	21.5
39.69	2.073383333	2.155058333	0.2622	21.5
42.93	2.0746	2.155525	0.28724	21.5
NEW				
Uref (m/s)				
0.5				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.063833333	2.2615	0.5276	21.5
-39.78	2.061425	2.256441667	0.5104	21.5
-34.83	2.060558333	2.252675	0.4812	21.5
-30.24	2.061166667	2.250083333	0.5051	21.5
-25.2	2.063525	2.2478	0.5007	21.5
-19.98	2.065741667	2.2427	0.5039	21.5
-14.85	2.067316667	2.234483333	0.4898	21.5
-9.99	2.072116667	2.229916667	0.4887	21.5
-5.31	2.077916667	2.2255	0.5054	21.5
0	2.083366667	2.21785	0.5185	21.5
5.13	2.088058333	2.209233333	0.4882	21.5
10.17	2.09495	2.203808333	0.503	21.5
14.76	2.099808333	2.1987	0.4761	21.5
19.8	2.108725	2.196916667	0.5037	21.5
25.02	2.114308333	2.193666667	0.5375	21.5
30.15	2.118466667	2.191125	0.4879	21.5
35.01	2.119783333	2.188291667	0.5079	21.5
39.69	2.12075	2.186583333	0.5017	21.5
42.93	2.12265	2.186725	0.4989	21.5
NEW				
Uref (m/s)				
0.75				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.0909	2.313875	0.7529	21.5
-39.87	2.091741667	2.314641667	0.7691	21.5
-34.83	2.091375	2.310025	0.7458	21.5
-30.24	2.092733333	2.3064	0.744	21.5
-25.2	2.096191667	2.302108333	0.7498	21.5
-19.98	2.101558333	2.297366667	0.7485	21.5
-14.85	2.107375	2.2905	0.7391	21.5
-9.99	2.11315	2.282633333	0.7481	21.5
-5.31	2.120291667	2.275091667	0.753	21.5
0	2.12875	2.265975	0.7549	21.5
5.13	2.136591667	2.255883333	0.7463	21.5
10.17	2.145466667	2.248216667	0.7633	21.5
14.76	2.151208333	2.240333333	0.7477	21.5
19.98	2.158441667	2.234141667	0.7464	21.4
25.02	2.165108333	2.228991667	0.7537	21.3
30.15	2.170608333	2.22495	0.7484	21.3
35.01	2.174516667	2.222291667	0.7532	21.3
39.69	2.177008333	2.220766667	0.7565	21.3
42.93	2.176991667	2.219516667	0.7485	21.3
NEW				
Uref (m/s)				
1				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.11	2.118183333	2.366616667	0.9992	21.3
-39.78	2.119366667	2.366708333	1.0057	21.3
-34.83	2.122208333	2.365683333	1.0107	21.3
-30.42	2.125025	2.361108333	1.0052	21.3
-25.2	2.129083333	2.354941667	0.9937	21.3
-19.98	2.135316667	2.347658333	0.9894	21.4
-14.85	2.144666667	2.341016667	0.999	21.5
-9.99	2.153375	2.332125	0.9985	21.5
-5.31	2.163083333	2.323458333	1.0021	21.5
0	2.172933333	2.312033333	1.0062	21.5
5.13	2.182508333	2.299725	1.0008	21.5
10.17	2.192275	2.288791667	1.0019	21.5
14.76	2.199975	2.279458333	0.9973	21.5
19.8	2.208041667	2.270425	0.9951	21.5
25.02	2.215708333	2.263025	1.004	21.5
30.33	2.221475	2.256575	1.0143	21.5
35.01	2.22345	2.251033333	1.0012	21.5
39.51	2.226333333	2.248866667	0.9874	21.5
42.93	2.2261	2.24705	0.9908	21.5
NEW				
Uref (m/s)				
1.5				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.1666	2.454133333	1.5099	21.5
-39.78	2.1673	2.452625	1.5015	21.5
-34.83	2.172033333	2.451108333	1.5093	21.5
-30.15	2.177308333	2.447033333	1.5021	21.5
-25.2	2.18535	2.440616667	1.5014	21.5
-19.98	2.195691667	2.432408333	1.4963	21.6
-14.85	2.208533333	2.423558333	1.5018	21.6
-9.99	2.221025	2.413166667	1.4973	21.7
-5.31	2.2339	2.402658333	1.5061	21.7
0	2.246533333	2.387416667	1.5014	21.8
5.13	2.259633333	2.372791667	1.5015	21.8
10.26	2.270391667	2.357566667	1.5011	21.8
14.67	2.279458333	2.344375	1.4929	21.8
19.8	2.28765	2.33	1.4994	21.8
25.02	2.29565	2.317475	1.5029	21.7
30.15	2.301625	2.307591667	1.5017	21.7
35.1	2.305333333	2.300125	1.4997	21.6
39.51	2.307125	2.294816667	1.5015	21.6
43.02	2.307816667	2.292791667	1.5021	21.6
NEW				
Uref (m/s)				
2.2				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.222475	2.547958333	2.2001	21.8
-39.78	2.224233333	2.547633333	2.203	21.8
-34.83	2.22945	2.545016667	2.2002	21.8
-30.24	2.236983333	2.541216667	2.2018	21.8
-25.2	2.248525	2.535033333	2.2027	21.7
-19.98	2.263691667	2.526333333	2.2047	21.8
-14.85	2.280475	2.515816667	2.209	21.8
-9.99	2.296308333	2.502941667	2.2034	21.8
-5.13	2.311866667	2.489933333	2.2015	21.8
0	2.32695	2.472058333	2.1868	21.8
5.13	2.342983333	2.454441667	2.2016	21.8
9.99	2.355675	2.435375	2.1997	21.8
14.58	2.365975	2.4178	2.1992	21.8
19.98	2.3748	2.398191667	2.1974	21.8
25.02	2.383341667	2.380525	2.2049	21.8
30.15	2.388741667	2.3652	2.1995	21.7
35.1	2.393125	2.354908333	2.2019	21.8
39.87	2.394941667	2.348341667	2.1996	21.8
42.93	2.395866667	2.345525	2.1951	21.8
NEW				
Uref (m/s)				
3				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.277708333	2.635458333	3.0108	21.8
-39.78	2.278916667	2.634658333	3.0095	21.8
-34.65	2.284283333	2.631216667	2.9963	21.8
-30.42	2.294133333	2.627841667	3.0029	21.8
-25.2	2.307883333	2.620275	2.9994	21.8
-19.98	2.326408333	2.611166667	3.0053	21.8
-14.85	2.345841667	2.598175	2.9939	21.8
-9.99	2.366175	2.585983333	3.0055	21.8
-5.49	2.384208333	2.5709	2.9976	21.8
0	2.403133333	2.55245	2.9979	21.8
5.22	2.419433333	2.530475	2.9944	21.8
10.08	2.434308333	2.508666667	3.0046	21.8
14.76	2.44415	2.487066667	2.993	21.8
19.98	2.455191667	2.463533333	3.0052	21.8
25.02	2.463866667	2.440983333	3.0105	21.8
30.15	2.470133333	2.422216667	3.0054	21.8
35.01	2.4742025	2.408975	2.9923	21.8
39.69	2.476901667	2.401316667	3.0018	21.8
42.93	2.477518333	2.398266667	3.0016	21.8
NEW				
Uref (m/s)				
4				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.11	2.337408333	2.724360833	4.0037	21.7
-39.78	2.337633333	2.7239325	3.9994	21.7
-34.83	2.343733333	2.721278417	4.0045	21.8
-30.24	2.354666667	2.716994167	4.0067	21.8
-25.11	2.370875	2.708810833	3.9989	21.8
-19.98	2.392591667	2.6986775	3.9999	21.8
-14.85	2.41595	2.685383333	3.9973	21.7
-9.99	2.438333333	2.671308333	4.0029	21.7
-5.31	2.459283333	2.655166667	4.0025	21.7
0	2.479925833	2.634075	3.994	21.8
5.13	2.499299917	2.610516667	4.0059	21.7
10.17	2.5134825	2.583966667	3.9938	21.7
14.58	2.525625833	2.560166667	4.0024	21.6
19.8	2.536291667	2.532225	3.9999	21.6
25.02	2.546225	2.505625	4.0102	21.7
30.15	2.552691667	2.482516667	3.9997	21.7
35.01	2.557358333	2.467	3.9972	21.7
39.69	2.559925	2.458291667	3.9933	21.7
42.93	2.560508333	2.455191667	3.9936	21.6
NEW				
Uref (m/s)				
5.4				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
